epoch,loss,val_loss
0,10.37201931,13.16892242
1,5.550192063,12.09581089
2,5.667565465,10.81549072
3,5.236445839,10.54976913
4,5.075874753,8.597988129
5,4.796761606,8.338665962
6,4.826895542,7.793313503
7,4.812023029,8.708477386
8,4.997348038,8.37803936
9,4.534332135,8.128498077
10,4.372157934,8.266348799
11,4.609585574,11.14288616
12,4.502473148,9.342136383
13,4.571751921,8.567640305
14,4.343571339,9.851477383
15,4.345601437,9.928479195
16,4.561823161,9.475054741
17,4.492671497,8.441878213
18,4.282534347,9.27008152
19,4.475774527,9.680357933
20,4.288399153,8.326925278
21,4.383266701,10.42038091
22,4.078687813,10.34609222
23,4.799439936,8.714639664
24,4.238896275,10.3513991
